일시,사용금액
2010-01-01,3121279
2010-02-01,1188833
2010-03-01,1481292
2010-04-01,12501228
2010-05-01,2459549
2010-06-01,2444251
2010-07-01,2546342
2010-08-01,1877742
2010-09-01,726209
2010-10-01,5163020
2010-11-01,3173110
2010-12-01,3634055
2011-01-01,856717
2011-02-01,1683763
2011-03-01,2315874
2011-04-01,860144
2011-05-01,1651918
2011-06-01,1463384
2011-07-01,5676355
2011-08-01,1384694
2011-09-01,1625223
2011-10-01,1232198
2011-11-01,1825990
2011-12-01,2362742
2012-01-01,7058688
2012-02-01,1006125
2012-03-01,2946029
2012-04-01,1779504
2012-05-01,992433
2012-06-01,1986879
2012-07-01,482653
2012-08-01,2066356
2012-09-01,2570411
2012-10-01,2668058
2012-11-01,2056603
2012-12-01,2116547
2013-01-01,1286125
2013-02-01,363827
2013-03-01,909497
2013-04-01,2510910
2013-05-01,3360211
2013-06-01,1261380
2013-07-01,293485
2013-08-01,1587170
2013-09-01,623306
2013-10-01,1349054
2013-11-01,498478
2013-12-01,2652154
2014-01-01,1801589
2014-02-01,1335004
2014-03-01,703231
2014-04-01,1546116
2014-05-01,5590861
2014-06-01,4144690
2014-07-01,1588814
2014-08-01,1304807
2014-09-01,1110243
2014-10-01,1655212
2014-11-01,3770055
2014-12-01,2326251
2015-01-01,1855378
2015-02-01,2156202
2015-03-01,1312274
2015-04-01,1623190
2015-05-01,2239213
2015-06-01,602316
2015-07-01,1035280
2015-08-01,1109754
2015-09-01,601064
2015-10-01,2876968
2015-11-01,2289178
2015-12-01,2444112
2016-01-01,552826
2016-02-01,1437246
2016-03-01,1088190
2016-04-01,1337538
2016-05-01,1744349
2016-06-01,1010565
2016-07-01,1503172
2016-08-01,1536569
2016-09-01,1345218
2016-10-01,1415723
2016-11-01,2213949
2016-12-01,1710779
2017-01-01,1671560
2017-02-01,1268238
2017-03-01,578025
2017-04-01,2930566
2017-05-01,702453
2017-06-01,1063973
2017-07-01,950307
2017-08-01,1427379
2017-09-01,2693914
2017-10-01,1480156
2017-11-01,3240825
2017-12-01,2913220
2018-01-01,6156419
2018-02-01,5932956
2018-03-01,1439177
2018-04-01,2790348
2018-05-01,2859664
2018-06-01,1177670
2018-07-01,2259846
2018-08-01,1317870
2018-09-01,1808336
2018-10-01,2010588
2018-11-01,3650504
2018-12-01,3618164
2019-01-01,4404943
2019-02-01,2764249
2019-03-01,3460518
2019-04-01,1760188
2019-05-01,1333389
2019-06-01,1455681
2019-07-01,1529545
2019-08-01,2352976
2019-09-01,891722
2019-10-01,1593249
2019-11-01,5597052
2019-12-01,1910354
2020-01-01,1909068
2020-02-01,1638488
2020-03-01,1209635
2020-04-01,2261359
2020-05-01,8146655
2020-06-01,4206404
2020-07-01,921011
2020-08-01,794980
2020-09-01,2477279
2020-10-01,930944
2020-11-01,3311328
2020-12-01,8104960
2021-01-01,4492501
2021-02-01,519837
2021-03-01,1518570
2021-04-01,1238633
2021-05-01,1289412
2021-06-01,962930
2021-07-01,420697
2021-08-01,1226544
2021-09-01,1250086
2021-10-01,474433
2021-11-01,2419261
2021-12-01,3460389
2022-01-01,1860026
2022-02-01,698311
2022-03-01,1575116
2022-04-01,2361587
2022-05-01,2792348
2022-06-01,679442
2022-07-01,1349068
2022-08-01,761678
2022-09-01,777352
2022-10-01,3207258
2022-11-01,3638009
2022-12-01,1791582
